step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
59,10.535346984863281,10.662552833557129,10.415404319763184,10.70315170288086,10.446924209594727
60,10.59177303314209,10.687015533447266,10.440315246582031,10.712203025817871,10.450450897216797
61,10.571447372436523,10.680660247802734,10.418477058410645,10.709356307983398,10.419382095336914
62,10.543229103088379,10.639269828796387,10.373781204223633,10.662528038024902,10.382652282714844
63,10.542074203491211,10.630036354064941,10.327753067016602,10.66065502166748,10.320372581481934
64,10.428318977355957,10.57425308227539,10.322426795959473,10.60761547088623,10.337737083435059
65,10.483600616455078,10.622507095336914,10.335062026977539,10.644491195678711,10.343173027038574
66,10.400986671447754,10.541996002197266,10.237393379211426,10.564657211303711,10.247871398925781
67,10.447138786315918,10.552231788635254,10.283452987670898,10.576630592346191,10.292024612426758
68,10.43498706817627,10.517435073852539,10.212849617004395,10.545507431030273,10.223176956176758
69,10.443659782409668,10.531173706054688,10.278797149658203,10.565729141235352,10.28938102722168
70,10.34339714050293,10.45207405090332,10.195721626281738,10.489633560180664,10.201419830322266
71,10.408287048339844,10.520533561706543,10.214503288269043,10.538117408752441,10.21096420288086
72,10.336044311523438,10.439708709716797,10.180020332336426,10.481254577636719,10.18980598449707
73,10.293769836425781,10.379745483398438,10.098591804504395,10.413535118103027,10.098196029663086
74,10.28089714050293,10.393802642822266,10.094584465026855,10.423513412475586,10.097060203552246
75,10.269420623779297,10.371546745300293,10.139318466186523,10.411901473999023,10.141609191894531
76,10.290599822998047,10.350415229797363,10.1123046875,10.377201080322266,10.117511749267578
77,10.239089965820312,10.343402862548828,10.083322525024414,10.384283065795898,10.089254379272461
78,10.216609954833984,10.297651290893555,9.974590301513672,10.327895164489746,9.975830078125
79,10.207281112670898,10.299120903015137,9.991055488586426,10.330057144165039,9.994222640991211
80,10.19942569732666,10.273811340332031,10.010575294494629,10.298847198486328,10.013559341430664
81,10.168876647949219,10.225574493408203,9.924144744873047,10.259931564331055,9.922430038452148
82,10.171709060668945,10.212616920471191,9.947452545166016,10.243268013000488,9.940984725952148
83,10.134109497070312,10.194039344787598,9.92857837677002,10.224695205688477,9.923672676086426
84,10.190820693969727,10.227840423583984,9.905241012573242,10.251703262329102,9.90057373046875
